Comment,Designator,Footprint,LCSC Part #,,,,,,,
0.1µ,C2 C3 C4 C5 C6 C7 C11 C14 C16,C0603,C14663,,,,,,,
1N4001,D1 D2,SMA-DO214AC,C727079,,,,,,,
1µ,C8 C17,C0603,C15849,,,,,,,
2k2,R15 R16,R0402,C25879,,,,,,,
4.7µ,C1,C0603,C19666,,,,,,,
5k1,R1 R2,R0402,C25879,,,,,,,
7.5k,R17,R0402,C25918,,,,,,,
10k,R4 R12 R13 R30 R31,R0402,C25744,,,,,,,
20k,R14,R0402,C25765,,,,,,,
100μ,C9 C13,153CLV-0505,C72487,,,,,,,
270,R3 R10 R32,R0402,C25099,,,,,,,
BLUE,LED15,SML0603,C118339,,,,,,,
BSS138,T1,SOT-23,C112239,,,,,,,
C1015,Q1,SOT23,C181170,,,,,,,
CH340ESMD,U1,MSOP10,C99652,,,,,,,
MAX485ESA+T,U5,SOIC127P600X175-8N,MAX485ED,,,,,,,
MLT-8530,LS1,MLT-8530_JHE,C94599,,,,,,,
REG-3V3,REG1,MYPARTS_D-PAK_TO252AA,,,,,,,,
REG-5V,REG2,MYPARTS_D-PAK_TO252AA,,,,,,,,
STM32F446RET6,U2,LQFP64-10X10MM,C69336,,,,,,,
WHITE,LED17 LED18,SML0603,C389521,,,,,,,
WS2812B_2020,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14,WS2812B_2020,C965555,,,,,,,
usb-c,X2,USB_C_CUSB31-CFM2AX-01-X,C2987386,,,,,,,